"31","cours 34 - Gym Entretien/Etirements","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","JEUDI 09h00 -10h00 - Gymnase Parc du Château"
"32","cours 35 - Gym Tonique","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","JEUDI 10h00 -11h00 - Gymnase Parc du Château"
"33","cours 36 - Gym Assouplissements/Etirements","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","JEUDI 11h00 - 12h00 - Gymnase Parc du Château"
"34","cours 14 - Gym Tonique","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","VENDREDI 09h00 - 10h00 - Centre Georges Pompidou"
"35","cours 15 - Gym Tonique","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","VENDREDI 10h00 - 11h00 - Centre Georges Pompidou"
"36","cours 16 - Gym Douce/Relaxation","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","VENDREDI 11h00 - 12h00 - Centre Georges Pompidou"
"37","cours 37 - Gym Après Cancer","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","VENDREDI 11h00 - 12h00 - Gymnase Parc du Château"
"38","cours 80 - Gym Entretien","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","VENDREDI 09h00 - 10h00 - Gymnase Louis-Georges Serre"
"39","cours 20 - Gym Pilates débutants","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","VENDREDI 09h00 - 10h00 - Maison des  Associations"
"40","cours 21 - Gym Pilates","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","VENDREDI 10h00 - 11h00 - Maison des  Associations"
"41","cours 22 - Gym Assouplissements/Etirements","106.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"2","VENDREDI 11h00 - 12h00 - Maison des  Associations"
"42","cours 70 - Gym Parent-Bébé","236.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"3","LUNDI 9h30 - 10h30 - Espace Daniel Sorano"
"43","cours 71 - Gym Parent-Bébé","236.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"3","LUNDI 10h30 - 11h30 - Espace Daniel Sorano"
"44","cours 81 - Gym Enfant ""grands/CP""","206.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"3","MERCREDI 14h45 - 15h30 - Gymnase Louis-Georges Serre"
"45","cours 82 - Gym Enfant ""petits/moyens""","206.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"3","MERCREDI 15h30 - 16h15 - Gymnase Louis-Georges Serre"
"46","cours 72 - Gym Parent-Bébé","236.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"3","JEUDI 9h30 - 10h30 - Espace Daniel Sorano"
